t,controller_id,state_code,wp_idx,x,y,dist,yaw_deg,yaw_to_wp_deg,yaw_ref_deg,yaw_err_deg,yaw_rate_deg_s,speed_ref,speed_meas,roll_deg,roll_rate_deg_s,roll_rms_window_deg,roll_rms_total_deg,pitch_deg,pitch_rate_deg_s,pitch_rms_window_deg,pitch_rms_total_deg,base_cmd,diff_cmd,T_left,T_right,J_inst,J_goal,J_wave_roll,J_progress,J_smooth,J_mpc_distance,J_mpc_final,J_mpc_heading,J_mpc_wrong_way,J_mpc_pitch,J_mpc_control,J_mpc_slew,J_mpc_turn,J_total,J_roll,J_pitch,J_roll_rate,J_pitch_rate,J_goal_heading,J_no_progress,J_control,I_roll,I_pitch,I_roll_rate,I_pitch_rate,I_control,I_no_progress,I_goal_heading
0.200,2,1,1,-532.003,189.997,50.003,57.312862,0.003989,0.003989,-57.308872,1.074296,nan,0.000000,-1.437490,1.088620,1.460639,0.000000,-0.901163,-1.618606,0.742460,0.000000,2.500000,-9.500000,12.000000,-7.000000,1059.28223938,0.000000,0.00000000,65.26116458,0.000000,420.68266257,388.52345807,182.65463363,0.00002007,1.94306297,0.14256031,0.02575692,0.04892027,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.504,2,1,1,-532.003,189.997,50.003,57.312862,0.003989,0.003989,-57.308872,1.074296,nan,0.000000,-1.437490,1.088620,1.460639,1.437490,-0.901163,-1.618606,0.742460,0.901163,2.500000,-21.500000,24.000000,-19.000000,1008.28611883,0.000000,0.00000000,52.40508492,0.000000,420.09793798,387.76628091,145.84799511,0.00000522,1.94973734,0.14356476,0.02638328,0.04912932,0.52667919,0.00229402,0.00015026,0.00027409,0.00012119,0.24307502,0.27934175,0.00142286,0.00019117,0.00007513,0.00010964,0.00024238,0.02845716,0.13967087,0.30384378
0.600,2,1,1,-532.001,189.996,50.001,57.213059,0.004291,0.004291,-57.208768,0.243507,nan,0.014953,-1.070390,1.876437,1.345987,1.358226,-0.610175,3.495043,0.771673,0.840380,8.000000,-28.000000,36.000000,-20.000000,982.26201028,0.000000,0.00000000,44.67875611,0.000000,418.73675812,385.98978549,130.73154472,0.00003997,1.91446196,0.14285600,0.01902967,0.04877824,0.69341488,0.00269724,0.00017210,0.00053225,0.00030031,0.31986212,0.36761158,0.00223928,0.00022477,0.00008605,0.00021290,0.00060062,0.04478558,0.18380579,0.39982766
0.700,2,1,1,-531.998,189.999,49.998,57.132627,0.001346,0.001346,-57.131280,-0.386747,nan,0.027167,-0.904864,1.260507,1.267508,1.280461,-0.409139,1.690225,0.726567,0.773609,14.000000,-34.000000,48.000000,-20.000000,960.67277694,0.000000,0.00000000,38.82792678,0.000000,417.19609978,383.98192154,118.53079194,0.00008425,1.92829054,0.14360122,0.01474951,0.04931139,0.86622948,0.00299652,0.00018230,0.00065324,0.00034382,0.39939904,0.45906336,0.00359120,0.00024971,0.00009115,0.00026130,0.00068764,0.07182409,0.22953168,0.49924880
0.800,2,1,1,-531.995,190.001,49.995,57.013411,-0.001391,-0.001391,-57.014802,-0.902409,nan,0.031095,-0.734664,1.890761,1.129278,1.206745,-0.261199,1.174563,0.669555,0.714197,20.000000,-40.000000,60.000000,-20.000000,942.58959582,0.000000,0.00000000,34.99979485,0.000000,415.73220982,382.10968072,107.60242693,0.00009408,1.93612665,0.14582031,0.01292032,0.05052214,1.03909239,0.00319385,0.00018645,0.00092555,0.00036484,0.47863254,0.55019754,0.00559161,0.00026615,0.00009323,0.00037022,0.00072967,0.11183228,0.27509877,0.59829068
0.900,2,1,1,-531.992,190.004,49.992,56.850109,-0.004661,-0.004661,-56.854770,-1.088620,nan,0.035924,-0.540960,2.392099,0.958240,1.135761,-0.123268,2.162916,0.539992,0.662841,26.000000,-46.000000,72.000000,-20.000000,926.87390726,0.000000,0.00000000,31.96112241,0.000000,414.27002938,380.25978321,98.26358359,0.00007126,1.90402367,0.14948820,0.01349087,0.05231466,1.21198092,0.00330086,0.00018738,0.00136147,0.00043611,0.55743357,0.64087693,0.00838460,0.00027507,0.00009369,0.00054459,0.00087223,0.16769200,0.32043846,0.69679196
1.120,2,1,1,-531.992,190.004,49.992,56.850109,-0.004661,-0.004661,-56.854770,-1.088620,nan,0.035924,-0.540960,2.392099,0.958240,1.025576,-0.123268,2.162916,0.539992,0.581440,32.000000,-52.000000,84.000000,-20.000000,914.69544503,0.000000,0.00000000,29.74025891,0.000000,413.05034717,378.72744146,91.01212277,0.00004018,1.94053875,0.15428039,0.01548105,0.05493434,1.59356025,0.00353577,0.00018941,0.00231840,0.00059258,0.73041712,0.83993580,0.01657117,0.00029465,0.00009471,0.00092736,0.00118517,0.33142347,0.41996790,0.91302140
1.200,2,1,1,-531.977,190.022,49.977,56.069418,-0.025730,-0.025730,-56.095148,-1.704549,nan,0.072277,0.175101,2.535338,0.656939,0.984765,0.464643,2.993704,0.339900,0.572936,38.000000,-58.000000,96.000000,-20.000000,898.45929835,0.000000,0.00000000,26.72470173,0.000000,411.60839741,377.05348252,80.90953639,0.00000000,1.92858936,0.15915167,0.01626993,0.05916935,1.73060675,0.00354477,0.00019998,0.00271169,0.00070225,0.79202570,0.91098831,0.02043405,0.00029540,0.00009999,0.00108467,0.00140451,0.40868091,0.45549416,0.99003212
1.300,2,1,1,-531.971,190.033,49.971,55.712111,-0.037359,-0.037359,-55.749470,-3.695578,nan,0.095639,0.402594,2.664254,0.495128,0.946732,0.690386,3.523690,0.376018,0.584595,40.000000,-60.000000,100.000000,-20.000000,891.70450062,0.000000,0.00000000,25.93573958,0.000000,410.98624046,376.38668766,76.07622369,0.00000000,2.07823392,0.16144869,0.01674705,0.06317957,1.89988690,0.00360405,0.00022903,0.00325252,0.00089146,0.86780370,0.99846949,0.02563664,0.00030034,0.00011452,0.00130101,0.00178292,0.51273288,0.49923475,1.08475463
1.400,2,1,1,-531.963,190.045,49.963,55.302591,-0.051857,-0.051857,-55.354448,-4.068000,nan,0.118707,0.626180,2.291831,0.406517,0.924281,0.940447,3.838817,0.520585,0.622064,40.000000,-60.000000,100.000000,-20.000000,890.27513742,0.000000,0.00000000,26.62222183,0.000000,410.67035919,376.10622209,74.39963005,0.00000000,2.23559532,0.16112753,0.01682086,0.06316055,2.06683507,0.00374734,0.00028290,0.00365241,0.00111585,0.94245442,1.08474689,0.03083526,0.00031228,0.00014145,0.00146096,0.00223170,0.61670515,0.54237344,1.17806802
1.500,2,1,1,-531.954,190.060,49.954,54.845180,-0.069387,-0.069387,-54.914567,-4.311507,nan,0.146221,0.853204,2.893437,0.460173,0.919005,1.224041,3.380451,0.727950,0.687393,40.000000,-60.000000,100.000000,-20.000000,889.49929714,0.000000,0.00000000,28.01200675,0.000000,410.30566410,375.78274520,72.74239584,0.00000000,2.41580538,0.16074793,0.01693533,0.06299660,2.23185727,0.00401364,0.00037425,0.00429045,0.00129003,1.01599829,1.16985143,0.03603917,0.00033447,0.00018712,0.00171618,0.00258007,0.72078341,0.58492572,1.26999787
1.708,2,1,1,-531.954,190.060,49.954,54.845180,-0.069387,-0.069387,-54.914567,-4.311507,nan,0.146221,0.853204,2.893437,0.460173,0.910204,1.224041,3.380451,0.727950,0.783661,40.000000,-60.000000,100.000000,-20.000000,889.49929714,0.000000,0.00000000,28.01200675,0.000000,410.30566410,375.78274520,72.74239584,0.00000000,2.41580538,0.16074793,0.01693533,0.06299660,2.57523032,0.00456774,0.00056433,0.00561807,0.00165246,1.16902609,1.34693431,0.04686731,0.00038065,0.00028216,0.00224723,0.00330493,0.93734620,0.67346716,1.46128262
1.800,2,1,1,-531.923,190.118,49.923,53.426961,-0.135778,-0.135778,-53.562740,-4.741226,nan,0.147330,1.383511,1.375099,0.877138,0.943776,1.919274,3.051000,1.260861,0.888880,40.000000,-60.000000,100.000000,-20.000000,885.42034535,0.000000,0.00000000,29.13089307,0.000000,409.74209428,375.34086113,68.12888421,0.00000000,2.83716664,0.16069942,0.01751144,0.06223515,2.71974596,0.00520960,0.00077020,0.00575017,0.00178252,1.23316243,1.42143353,0.05163752,0.00043413,0.00038510,0.00230007,0.00356505,1.03275034,0.71071676,1.54145304
