t,controller_id,state_code,wp_idx,x,y,dist,yaw_deg,yaw_to_wp_deg,yaw_ref_deg,yaw_err_deg,yaw_rate_deg_s,speed_ref,speed_meas,roll_deg,roll_rate_deg_s,roll_rms_window_deg,roll_rms_total_deg,pitch_deg,pitch_rate_deg_s,pitch_rms_window_deg,pitch_rms_total_deg,base_cmd,diff_cmd,T_left,T_right,J_inst,J_goal,J_wave_roll,J_progress,J_smooth,J_mpc_distance,J_mpc_final,J_mpc_heading,J_mpc_wrong_way,J_mpc_pitch,J_mpc_control,J_mpc_slew,J_mpc_turn,J_total,J_roll,J_pitch,J_roll_rate,J_pitch_rate,J_goal_heading,J_no_progress,J_control,I_roll,I_pitch,I_roll_rate,I_pitch_rate,I_control,I_no_progress,I_goal_heading
0.300,2,1,1,-531.997,190.001,49.997,57.296482,-0.000794,-0.000794,-57.297276,-0.157563,nan,0.000000,0.140484,0.716197,0.098397,0.000000,0.679131,1.303479,0.626950,0.000000,2.500000,-9.500000,12.000000,-7.000000,1052.75992737,0.000000,0.00000000,63.71693543,0.000000,420.50532252,388.32260165,178.17052239,0.00001700,1.82781791,0.14229701,0.02593309,0.04848038,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.618,2,1,1,-531.997,190.001,49.997,57.296482,-0.000794,-0.000794,-57.297276,-0.157563,nan,0.000000,0.140484,0.716197,0.098397,0.140484,0.679131,1.303479,0.626950,0.679131,2.500000,-21.500000,24.000000,-19.000000,1003.71312019,0.000000,0.00000000,51.32606434,0.000000,419.96850013,387.63083491,142.73678084,0.00000426,1.83300961,0.14310595,0.02597539,0.04884477,0.54795061,0.00002291,0.00008925,0.00012407,0.00008219,0.25411045,0.29203368,0.00148806,0.00000191,0.00004462,0.00004963,0.00016439,0.02976113,0.14601684,0.31763806
0.700,2,1,1,-531.991,190.004,49.991,57.203905,-0.005149,-0.005149,-57.209055,-1.217535,nan,0.002932,0.339219,0.128916,0.218928,0.198408,0.937626,0.214859,0.770359,0.739778,8.000000,-28.000000,36.000000,-20.000000,979.44117600,0.000000,0.00000000,45.22564459,0.000000,418.62841609,385.92940162,127.44622624,0.00002774,2.00157505,0.14247824,0.01874201,0.04866443,0.68992632,0.00005756,0.00013336,0.00012511,0.00008277,0.31979753,0.36754354,0.00218645,0.00000480,0.00006668,0.00005005,0.00016555,0.04372905,0.18377177,0.39974692
0.800,2,1,1,-531.990,190.005,49.990,57.127364,-0.006043,-0.006043,-57.133407,-1.317803,nan,0.005388,0.374268,0.615930,0.256965,0.244031,0.937673,0.515662,0.811011,0.783458,14.000000,-34.000000,48.000000,-20.000000,962.52765449,0.000000,0.00000000,42.05622513,0.000000,417.33047747,384.27924657,116.61463374,0.00005716,2.03945591,0.14353007,0.01468205,0.04934640,0.86288176,0.00010890,0.00018707,0.00015408,0.00008683,0.39955478,0.45924807,0.00354202,0.00000907,0.00009353,0.00006163,0.00017367,0.07084044,0.22962404,0.49944348
0.900,2,1,1,-531.990,190.006,49.990,57.021666,-0.006778,-0.006778,-57.028444,-1.045648,nan,0.007122,0.402550,0.000000,0.308957,0.276769,0.932130,-0.272155,0.871797,0.810083,20.000000,-40.000000,60.000000,-20.000000,947.71880461,0.000000,0.00000000,39.36220329,0.000000,416.04025204,382.64925071,107.38093225,0.00007188,2.07655978,0.14602782,0.01294888,0.05055798,1.03509363,0.00016802,0.00023991,0.00015408,0.00008796,0.47866661,0.55023865,0.00553840,0.00001400,0.00011995,0.00006163,0.00017592,0.11076808,0.27511932,0.59833326
1.107,2,1,1,-531.990,190.006,49.990,57.021666,-0.006778,-0.006778,-57.028444,-1.045648,nan,0.007122,0.402550,0.000000,0.308957,0.313895,0.932130,-0.272155,0.871797,0.843092,26.000000,-46.000000,72.000000,-20.000000,933.50938456,0.000000,0.00000000,36.35524428,0.000000,414.73093820,380.98816475,99.10027473,0.00006682,2.11878252,0.14986629,0.01348804,0.05255894,1.39414689,0.00029074,0.00034957,0.00015408,0.00009030,0.64285712,0.73908258,0.01132250,0.00002423,0.00017478,0.00006163,0.00018059,0.22645006,0.36954129,0.80357140
1.200,2,1,1,-531.988,190.017,49.988,56.411284,-0.019939,-0.019939,-56.431223,-3.008028,nan,0.029684,0.480565,0.243507,0.402737,0.334936,1.022482,1.188887,0.955634,0.863313,32.000000,-52.000000,84.000000,-20.000000,916.63606245,0.000000,0.00000000,34.95366156,0.000000,413.38579415,379.41846929,86.43653537,0.00000197,2.21643142,0.15408215,0.01601462,0.05507193,1.55274913,0.00036907,0.00040867,0.00015827,0.00011027,0.71486893,0.82205205,0.01478186,0.00003076,0.00020434,0.00006331,0.00022055,0.29563729,0.41102602,0.89358616
1.300,2,1,1,-531.986,190.024,49.986,56.152955,-0.027973,-0.027973,-56.180928,-3.495043,nan,0.051283,0.482651,0.071620,0.433597,0.352513,1.042137,0.300803,0.977425,0.882838,38.000000,-58.000000,96.000000,-20.000000,908.44039720,0.000000,0.00000000,35.85357610,0.000000,412.48884200,378.47607444,79.12325819,0.00000000,2.26175827,0.15953736,0.01667609,0.06067474,1.72342460,0.00045428,0.00047488,0.00015866,0.00011165,0.79183637,0.91079573,0.01959302,0.00003786,0.00023744,0.00006346,0.00022331,0.39186031,0.45539786,0.98979547
1.400,2,1,1,-531.985,190.033,49.985,55.810270,-0.037885,-0.037885,-55.848154,-3.924761,nan,0.071876,0.476110,-0.587282,0.458631,0.365478,1.039317,-0.057296,1.000380,0.898187,40.000000,-60.000000,100.000000,-20.000000,907.85297630,0.000000,0.00000000,38.68777969,0.000000,412.19155713,378.28137013,76.17404346,0.00000000,2.27603694,0.16185054,0.01686685,0.06347157,1.89250996,0.00053713,0.00054068,0.00018492,0.00011170,0.86783567,0.99850746,0.02479238,0.00004476,0.00027034,0.00007397,0.00022341,0.49584767,0.49925373,1.08479459
1.500,2,1,1,-531.983,190.044,49.983,55.413771,-0.050001,-0.050001,-55.463773,-4.655282,nan,0.091923,0.466212,0.787817,0.474042,0.374909,1.019298,-0.401070,1.020377,0.908898,40.000000,-60.000000,100.000000,-20.000000,909.15778526,0.000000,0.00000000,41.89536763,0.000000,412.14839641,378.39395251,74.20608330,0.00000000,2.27148776,0.16165090,0.01705438,0.06379238,2.05952025,0.00061660,0.00060399,0.00023220,0.00011415,0.94281833,1.08514142,0.02999355,0.00005138,0.00030200,0.00009288,0.00022831,0.59987098,0.54257071,1.17852292
