t,controller_id,state_code,wp_idx,x,y,dist,yaw_deg,yaw_to_wp_deg,yaw_ref_deg,yaw_err_deg,yaw_rate_deg_s,speed_ref,speed_meas,roll_deg,roll_rate_deg_s,roll_rms_window_deg,roll_rms_total_deg,pitch_deg,pitch_rate_deg_s,pitch_rms_window_deg,pitch_rms_total_deg,base_cmd,diff_cmd,T_left,T_right,J_inst,J_goal,J_wave_roll,J_progress,J_smooth,J_mpc_distance,J_mpc_final,J_mpc_heading,J_mpc_wrong_way,J_mpc_pitch,J_mpc_control,J_mpc_slew,J_mpc_turn,J_total,J_roll,J_pitch,J_roll_rate,J_pitch_rate,J_goal_heading,J_no_progress,J_control,I_roll,I_pitch,I_roll_rate,I_pitch_rate,I_control,I_no_progress,I_goal_heading
0.500,1,1,1,-531.984,190.005,49.984,57.363897,-0.006274,-0.006274,-57.370170,0.000000,0.319684,0.012040,-1.016674,2.563986,1.316355,0.000000,-0.713309,2.979381,0.982331,0.000000,0.000000,-5.000000,5.000000,-5.000000,0.00000002,0.00000000,0.00000002,0.00000000,0.00000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.614,1,1,1,-531.984,190.005,49.984,57.363897,-0.006274,-0.006274,-57.370170,0.000000,0.319684,0.012040,-1.016674,2.563986,1.316355,1.016674,-0.713309,2.979381,0.982331,0.713309,0.000000,-10.000000,10.000000,-10.000000,0.00000002,0.00000000,0.00000002,0.00000000,0.00000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00130071,0.00042934,0.00003522,0.00056888,0.00015363,0.00000000,0.00000000,0.00011363,0.00003578,0.00001761,0.00022755,0.00030726,0.00227263,0.00000000,0.00000000
0.700,1,1,1,-531.971,190.007,49.971,57.349170,-0.008581,-0.008581,-57.357752,0.000000,0.339928,0.057768,-0.200306,4.383127,1.022320,0.777583,0.006832,4.454747,0.740059,0.537707,0.000000,-15.000000,15.000000,-15.000000,0.00000003,0.00000000,0.00000003,0.00000000,0.00000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00303205,0.00044200,0.00003523,0.00183227,0.00041463,0.00000000,0.00000000,0.00030792,0.00003683,0.00001761,0.00073291,0.00082926,0.00615846,0.00000000,0.00000000
0.800,1,1,1,-531.964,190.009,49.964,57.318329,-0.010315,-0.010315,-57.328644,0.000000,0.350774,0.064631,0.236330,4.669606,0.868917,0.649412,0.404416,4.512043,0.631999,0.497269,2.046005,-17.953995,20.000000,-15.907989,0.00000003,0.00000000,0.00000003,0.00000000,0.00000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00535885,0.00046241,0.00004519,0.00349229,0.00072461,0.00000000,0.00000000,0.00063435,0.00003853,0.00002259,0.00139692,0.00144922,0.01268700,0.00000000,0.00000000
0.900,1,1,1,-531.957,190.011,49.957,57.264967,-0.012462,-0.012462,-57.277429,0.000000,0.366368,0.068354,0.662721,3.294507,0.621475,0.652766,0.805750,3.939085,0.500942,0.589739,4.890894,-20.109106,25.000000,-15.218212,0.00000003,0.00000000,0.00000003,0.00000000,0.00000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00705045,0.00062299,0.00008475,0.00431901,0.00096098,0.00000000,0.00000000,0.00106273,0.00005192,0.00004237,0.00172760,0.00192196,0.02125454,0.00000000,0.00000000
1.000,1,1,1,-531.950,190.013,49.950,57.187607,-0.015331,-0.015331,-57.202938,0.000000,0.366341,0.072396,1.084365,3.652606,0.575133,0.758975,1.224221,4.655282,0.610749,0.760240,7.378916,-22.621084,30.000000,-15.242169,0.00000005,0.00000000,0.00000005,0.00000000,0.00000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00948348,0.00105274,0.00017604,0.00533488,0.00129101,0.00000000,0.00000000,0.00162881,0.00008773,0.00008802,0.00213395,0.00258202,0.03257614,0.00000000,0.00000000
1.100,1,1,1,-531.942,190.017,49.942,57.085560,-0.019232,-0.019232,-57.104791,0.000000,0.356360,0.078108,1.509310,3.280183,0.794863,0.927209,1.672306,5.371479,0.906725,0.973525,9.648193,-25.351807,35.000000,-15.703614,0.00000010,0.00000000,0.00000010,0.00000000,0.00000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.01248107,0.00188541,0.00034641,0.00615423,0.00173044,0.00000000,0.00000000,0.00236457,0.00015712,0.00017321,0.00246169,0.00346089,0.04729146,0.00000000,0.00000000
1.200,1,1,1,-531.934,190.021,49.934,56.957758,-0.024112,-0.024112,-56.981870,0.000000,0.333721,0.082183,1.925408,3.724226,1.137378,1.125440,2.129563,5.142296,1.281610,1.208457,9.158870,-25.774192,34.933062,-16.615322,0.00000022,0.00000000,0.00000022,0.00000000,0.00000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.01632066,0.00324089,0.00062277,0.00721075,0.00213330,0.00000000,0.00000000,0.00311296,0.00027007,0.00031139,0.00288430,0.00426660,0.06225912,0.00000000,0.00000000
1.300,1,1,1,-531.927,190.026,49.927,56.824185,-0.029479,-0.029479,-56.853663,0.000000,0.311634,0.084377,2.265163,2.664254,1.475986,1.322897,2.503290,3.752874,1.645115,1.435836,8.180001,-25.524472,33.704473,-17.344471,0.00000043,0.00000000,0.00000043,0.00000000,0.00000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.02005489,0.00511817,0.00100489,0.00775180,0.00234801,0.00000000,0.00000000,0.00383202,0.00042651,0.00050245,0.00310072,0.00469601,0.07664039,0.00000000,0.00000000
1.400,1,1,1,-531.921,190.030,49.921,56.650640,-0.034762,-0.034762,-56.685402,0.000000,0.287520,0.079024,2.607347,2.205888,1.852768,1.520171,2.864245,3.251535,2.050267,1.656515,7.463330,-25.300202,32.763531,-17.836872,0.00000075,0.00000000,0.00000074,0.00000000,0.00000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.02426708,0.00760318,0.00150470,0.00812236,0.00250903,0.00000000,0.00000000,0.00452781,0.00063360,0.00075235,0.00324894,0.00501806,0.09055625,0.00000000,0.00000000
