t,controller_id,state_code,wp_idx,x,y,dist,yaw_deg,yaw_to_wp_deg,yaw_ref_deg,yaw_err_deg,yaw_rate_deg_s,speed_ref,speed_meas,roll_deg,roll_rate_deg_s,roll_rms_window_deg,roll_rms_total_deg,pitch_deg,pitch_rate_deg_s,pitch_rms_window_deg,pitch_rms_total_deg,base_cmd,diff_cmd,T_left,T_right,J_inst,J_goal,J_wave_roll,J_progress,J_smooth,J_mpc_distance,J_mpc_final,J_mpc_heading,J_mpc_wrong_way,J_mpc_pitch,J_mpc_control,J_mpc_slew,J_mpc_turn,J_total,J_roll,J_pitch,J_roll_rate,J_pitch_rate,J_goal_heading,J_no_progress,J_control,I_roll,I_pitch,I_roll_rate,I_pitch_rate,I_control,I_no_progress,I_goal_heading
0.200,3,1,1,-532.001,189.998,50.001,57.316,0.003,9.555,-47.762,0.645,nan,0.003568,-1.325378,0.788233,1.325378,1.325378,-0.992466,1.073030,0.992466,0.992466,58.626739,-56.221749,8.000000,2.404991,nan,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.04089713,0.00071857,0.00005756,0.00004538,0.00001682,0.03999186,0.00000000,0.00006694,0.00005133,0.00002878,0.00001815,0.00003364,0.00033468,0.00000000,0.06665309
0.437,3,1,1,-532.001,189.998,50.001,57.316,0.003,9.555,-47.762,0.645,nan,0.003568,-1.325378,0.788233,1.325378,1.325378,-0.992466,1.073030,0.992466,0.992466,48.741382,-60.587958,16.000000,-5.595009,nan,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.14246069,0.00249401,0.00019978,0.00015752,0.00005838,0.13880316,0.00000000,0.00074784,0.00017814,0.00009989,0.00006301,0.00011677,0.00373919,0.00000000,0.23133861
0.500,3,1,1,-531.993,190.003,49.993,57.298,-0.003,9.548,-47.750,0.043,nan,0.162955,-0.890093,1.816270,1.197987,1.266138,-0.395207,1.690850,0.841856,0.923605,48.744066,-61.637088,24.000000,-12.893022,nan,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.16960146,0.00270698,0.00020578,0.00031588,0.00008583,0.16507131,0.00000000,0.00121569,0.00019336,0.00010289,0.00012635,0.00017166,0.00607847,0.00000000,0.27511884
0.600,3,1,1,-531.990,190.004,49.990,57.268,-0.005,9.542,-47.726,-1.074,nan,0.127066,-0.709815,1.819206,1.096513,1.175390,-0.246369,1.414189,0.739402,0.832673,49.765805,-63.267604,32.000000,-13.501799,nan,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.21291806,0.00292174,0.00020947,0.00056779,0.00011628,0.20668138,0.00000000,0.00242140,0.00020870,0.00010474,0.00022711,0.00023255,0.01210701,0.00000000,0.34446896
0.700,3,1,1,-531.984,190.007,49.984,57.199,-0.009,9.529,-47.671,-0.115,nan,0.099308,-0.498504,2.759227,1.005770,1.091549,-0.077358,2.287415,0.662246,0.760291,50.565556,-65.240215,40.000000,-14.674659,nan,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.25701255,0.00302767,0.00020984,0.00114730,0.00019593,0.24819592,0.00000000,0.00423589,0.00021626,0.00010492,0.00045892,0.00039186,0.02117943,0.00000000,0.41365987
0.800,3,1,1,-531.980,190.011,49.980,57.102,-0.012,9.510,-47.592,-1.404,nan,0.101734,-0.278826,3.441725,0.925167,1.015576,0.110299,2.963674,0.606220,0.704773,51.267980,-66.804837,48.000000,-15.536857,nan,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.30203579,0.00306083,0.00021058,0.00204959,0.00032974,0.28960318,0.00000000,0.00678186,0.00021863,0.00010529,0.00081984,0.00065948,0.03390932,0.00000000,0.48267197
0.936,3,1,1,-531.980,190.011,49.980,57.102,-0.012,9.510,-47.592,-1.404,nan,0.101734,-0.278826,3.441725,0.862997,0.935791,0.110299,2.963674,0.562796,0.646221,51.856747,-69.297217,56.000000,-17.440470,nan,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.36436542,0.00310585,0.00021159,0.00327437,0.00051137,0.34580961,0.00000000,0.01145264,0.00022185,0.00010579,0.00130975,0.00102274,0.05726320,0.00000000,0.57634934
1.000,3,1,1,-531.968,190.020,49.968,56.797,-0.023,9.452,-47.345,-1.948,nan,0.223263,0.222148,3.154436,0.811072,0.903591,0.536937,2.728781,0.559629,0.639010,52.374114,-70.228183,64.000000,-17.854070,nan,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.39409033,0.00311936,0.00022286,0.00376093,0.00058419,0.37211564,0.00000000,0.01428734,0.00022281,0.00011143,0.00150437,0.00116839,0.07143671,0.00000000,0.62019274
1.100,3,1,1,-531.962,190.027,49.962,56.582,-0.031,9.410,-47.172,-2.994,nan,0.203861,0.460795,2.369852,0.779960,0.869374,0.757269,2.334698,0.584897,0.651855,52.743908,-71.762661,72.000000,-19.018753,nan,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.44094342,0.00320992,0.00025780,0.00418863,0.00066722,0.41278672,0.00000000,0.01983314,0.00022928,0.00012890,0.00167545,0.00133443,0.09916570,0.00000000,0.68797786
1.200,3,1,1,-531.955,190.036,49.955,56.323,-0.042,9.359,-46.964,-2.020,nan,0.208820,0.687131,3.417051,0.771180,0.854359,1.003318,3.983533,0.639186,0.691371,52.946467,-72.000000,80.000000,-19.053533,nan,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.48940595,0.00341125,0.00031912,0.00507772,0.00090888,0.45309358,0.00000000,0.02659539,0.00024366,0.00015956,0.00203109,0.00181776,0.13297696,0.00000000,0.75515597
